Группа;Название;Количество;Цена;Себестоимость
Меню унаги;/Унаги сарада;11,000;240,00;111,17
Меню унаги;/Умаки ;10,000;280,00;80,60
Меню унаги;/Атаго маки;5,000;350,00;135,68
Меню унаги;/Тамаго суп;25,000;230,00;60,68
Меню унаги;/Унаги калифорния;8,000;290,00;94,87
Меню унаги;/Унаги пете маки;9,000;170,00;63,24
Меню унаги;/Поке угрем и авокадо;9,000;350,00;130,42
Меню унаги;/Мейн магуро;10,000;360,00;170,31
Меню унаги;/Макао;6,000;260,00;77,59
Меню унаги;/Ясай пате унаги;3,000;250,00;90,30
Наборы;/Танабата сет нов;146,000;1 840,00;565,73
Наборы;/Темпура Сет нов;1 126,000;1 210,00;382,75
Наборы;/Сакура Сет ;292,000;1 775,00;522,98
Наборы;/Дуо Сет;447,000;1 350,00;360,96
Наборы;/Анимэ Сет;238,000;920,00;262,49
Наборы;/Сяке магуро сет;268,000;1 150,00;348,21
Наборы;/Якуро сет;616,000;910,00;256,48
Наборы;/Цунами сет;293,000;1 460,00;374,76
Наборы;/Филадельфия Сет ;423,000;1 170,00;544,37
Осень2018 СБ кухня;/Филадельфия томато;36,000;330,00;83,77
Осень2018 СБ кухня;/Крем-суп с морепродуктами пр;76,000;250,00;79,16
Осень2018 СБ кухня;/Калифорния с сыром васаби;25,000;275,00;81,94
Осень2018 СБ кухня;/Ясай темпура;32,000;120,00;21,71
Осень2018 СБ кухня;/Эби чиз ясай;12,000;335,00;123,58
Осень2018 СБ кухня;/Эби манго маки;35,000;290,00;91,60
Осень2018 СБ кухня;/Эби кешью;15,000;315,00;82,77
Промо новое меню СБ;/Филадельфия онфаер new;28,000;430,00;126,79
Промо новое меню СБ;/Банана эби new;48,000;260,00;64,08
Промо новое меню СБ;/Муши нику с говядиной new;18,000;390,00;140,12
Промо новое меню СБ;/The Gardener's daughter new;10,000;330,00;115,83
Промо новое меню СБ;/Хотате Чиз маки new;89,000;290,00;114,43
Промо новое меню СБ;/Кицунэ (лиса) new;10,000;330,00;88,58
Промо новое меню СБ;/Салат хисокани new;22,000;380,00;111,27
Промо новое меню СБ;/Амаинато new;84,000;287,77;100,69
Промо новое меню СБ;/Эби нира;36,000;240,00;63,89
Промо новое меню СБ;/Закуска магуро чараши new;5,000;340,00;95,22
Промо новое меню СБ;/Торику коконатсу new;17,000;280,00;72,67
Промо новое меню СБ;/Муши нику со свининой new;13,000;320,00;43,43
Промо новое меню СБ;/Филадельфия premium new;42,000;410,00;145,23
Промо новое меню СБ;/Snow whites apple new;5,000;330,00;74,53
Промо новое меню СБ;/Салат капа Гуйнику new;14,000;290,00;107,87
Роллы;/Масаго лава;192,000;285,00;64,88
Роллы;/Кюри маки;321,000;195,00;31,87
Роллы;/Темпура Унаги;295,000;285,00;68,66
Роллы;/Филадельфия гурмэ;300,500;389,30;178,24
Роллы;/Сяке Хотто;953,500;285,00;90,09
Роллы;/Номикому маки;177,000;325,00;113,34
Роллы;/Ролл Эби темпура маки;769,000;275,00;50,35
Роллы;/Унаги темпура яки;34,000;290,00;87,73
