Группа;Название;Количество;Цена;Себестоимость
Наборы;/Якуро сет;616;910;256,48
Наборы;/Цунами сет;293;1 460,00;374,76
Наборы;/Филадельфия Сет ;423;1 170,00;544,37
Осень2018 СБ кухня;/Филадельфия томато;36;330;83,77
Осень2018 СБ кухня;/Крем-суп с морепродуктами пр;76;250;79,16
Осень2018 СБ кухня;/Калифорния с сыром васаби;25;275;81,94
Осень2018 СБ кухня;/Ясай темпура;32;120;21,71
Осень2018 СБ кухня;/Эби чиз ясай;12;335;123,58
Осень2018 СБ кухня;/Эби манго маки;35;290;91,6
Осень2018 СБ кухня;/Эби кешью;15;315;82,77
Промо новое меню СБ;/Филадельфия онфаер new;28;430;126,79
Промо новое меню СБ;/Банана эби new;48;260;64,08
Промо новое меню СБ;/Муши нику с говядиной new;18;390;140,12
Промо новое меню СБ;/The Gardener's daughter new;10;330;115,83
Промо новое меню СБ;/Хотате Чиз маки new;89;290;114,43
Промо новое меню СБ;/Кицунэ (лиса) new;10;330;88,58
Промо новое меню СБ;/Салат хисокани new;22;380;111,27
Промо новое меню СБ;/Амаинато new;84;287,77;100,69
Промо новое меню СБ;/Эби нира;36;240;63,89
Промо новое меню СБ;/Закуска магуро чараши new;5;340;95,22
Промо новое меню СБ;/Торику коконатсу new;17;280;72,67
Промо новое меню СБ;/Муши нику со свининой new;13;320;43,43
Промо новое меню СБ;/Филадельфия premium new;42;410;145,23
Промо новое меню СБ;/Snow whites apple new;5;330;74,53
Промо новое меню СБ;/Салат капа Гуйнику new;14;290;107,87
Роллы;/Масаго лава;192;285;64,88
Роллы;/Кюри маки;321;195;31,87
Роллы;/Темпура Унаги;295;285;68,66
Роллы;/Филадельфия гурмэ;300,5;389,3;178,24
Роллы;/Сяке Хотто;953,5;285;90,09
Роллы;/Номикому маки;177;325;113,34
Роллы;/Ролл Эби темпура маки;769;275;50,35
Роллы;/Унаги темпура яки;34;290;87,73
Роллы;/Темпура твист;428;270;49,36
Роллы;/Тести маки;79;260;71,7
Роллы;/Канада лайт ;556;299;131,67
Роллы;/Чикен чука;126,5;195;32,4
Роллы;/Темпура пай;410,5;180;30,78
Роллы;/Виола фьюжин;68;210;62,85
Роллы;/Мидзу маки;22;275;97,12
Роллы;/Калифорния эби;465,5;305;121,11
Роллы;/Унаги Хотто;347;335;125,24
Роллы;/Магуро фреш;84;175;49,92
Роллы;/Икура каппа;143;295;86,63
Роллы;/Филадельфия темпура;533,5;348,62;142,61
Роллы;/Темпура сяке;713,5;274,71;62,41
Роллы;/Темпура салмончиз гриль;579;295;56,91
Роллы;/Сяке маки;788;165;43,42
Роллы;/Эби васаби маки;193;295;80,84
Роллы;/Филадельфия твист;414;379;138,6
Роллы;/Унаги маки;391;195;60,68
Роллы;/Гриль -Твист;331;315;107,76
Роллы;/Сяке краб гриль;263;310;68
Роллы;/Цезарь темпура маки;483;269,53;47,6
Роллы;/Дабл крем чиз;407;265;51,25
Роллы;/Лава маки;510;298,57;72,51
Роллы;/Темпура Салмонскин;263;190;32,36
Роллы;/Имо маки;265;195;47,75
Роллы;/Темпура лава;974,5;298,79;85,02
Роллы;/Босутон;229;230;75,44
Роллы;/Эби Фрай;438;295;92,6
Роллы;/Эби папурико;77;195;46,45
Роллы;/Мидзу темпура;474;299;105,53
Роллы;/Ясай маки;176;150;26,08
Роллы;/Тираши темпура маки;795;165;33,08
Роллы;/Канада;604;464,64;219,34
Роллы;/Онабури маки;169;278,34;86,59
Роллы;/Филадельфия;5 081,00;345;136,63
Роллы;/Муругай маки;912;295;63,22
Роллы;/Пеппер сяке;200;265;115,69
Роллы;/Эби маки ФК;183;185;52,08
Роллы;/Унаги гома;84;240;55,6
Роллы;/Цезарь эби;258,5;305;76,57
Роллы;/Каппа маки;494;79;13,72
Роллы;/Каппа фила;263;259,26;62,09
Роллы;/Сяке тан ;142,5;220;40,37
